,B1F1,B1GSM(X),B1GSM(Y),B1GSM(Z),B1RTN(X),B1RTN(Y),B1RTN(Z)
9858,6.631203460693218,-3.7924118518828323,5.080569553374919,-1.9415777683263578,3.786022663116354,-4.864881038665392,-2.4419796466832557
9859,6.797845554351771,-4.017239761352393,4.881483554840198,-2.49582252502434,4.01178951263413,-4.611165809631465,-2.973032665252623
9860,7.097646141052258,-2.8836722373962935,6.378022384643545,-1.1718375921249355,2.874272680282646,-6.231920146942129,-1.8082216501235917
9861,7.218759822845493,-2.693775415420613,6.6564398765564095,-0.73516596555701,2.683433151245198,-6.55273714065554,-1.402109813690099
9862,7.199624538421631,-2.854851722717285,6.483026504516602,-1.2765971422195435,2.8453915119171143,-6.325746536254883,-1.9230681657791138
9863,7.152910041809044,-3.5615912914276135,6.149638748168971,-0.8054998397821572,3.552172708511353,-6.042967510223471,-1.420011019706174
9864,7.144273662567071,-3.5377600669861624,6.181188392639029,-0.5557016968727886,3.528015851974566,-6.0995765686033785,-1.1746956586838406
9865,6.832554912567177,-4.186351680755676,5.156677913665785,-1.5994125127791965,4.179461669921936,-4.975928306579608,-2.1088444232940295
9866,6.828314590454256,-5.535522651672525,2.1822873115542114,-3.347775316238286,5.535518932342691,-1.8423888683321763,-3.5462125778197335
9867,7.105133533477783,-4.920988082885742,4.108375072479248,-3.063349962234497,4.91745138168335,-3.7862768173217773,-3.458577871322632
9868,6.979922294616944,-4.013041687011733,5.2576605796817395,-2.227154159545833,4.006669712066664,-5.012619113922467,-2.743712997436493
9869,7.133334255218543,-4.211063289642419,5.63253459930422,-1.1892555236814628,4.202929210662926,-5.49087734222416,-1.7488511562345663
9870,7.0586656570434485,-3.9253906250000816,5.536670112609862,-1.9365600109098398,3.918234777450643,-5.31943540573122,-2.482884120940968
9871,7.246834564208864,-3.9087831497193655,5.860175991058049,-1.6990890741350655,3.9008265495301573,-5.665269279479657,-2.279348134994714
9872,7.2346577644348145,-4.154695510864258,5.736757278442383,-1.470211148262024,4.146694660186768,-5.566065788269043,-2.038928270339966
9873,7.174317932128923,-4.164537525177047,5.668003368377798,-1.412464261054479,4.156589031219526,-5.503524303436444,-1.9745069026942026
9874,7.2636434555054405,-3.654341983795037,5.315697956085199,-3.3349362373355107,3.649085807800164,-4.95774316787716,-3.8519626617434675
